;code_client;reference_lettrage;n_echance;date_echeance;montant_credit;total_echeance;capital_rembourse;capital_restant;date_operation;montant;nbre_ech;taux_interet;date_mise_place;objet_credit_groupe;nb_cpt;type;segment;profil_activite;secteur_risque;forme_juridique;date_creation;reseau;age_credit_jours;cat_age_entreprise;Retard;echa_impaye_avant;cum_taux_paiement;statut
0;136;CBM02380;2;2024-05-04 00:00:00;18448637;480632,28;349457,28;14409452,32;2024-03-05 00:00:00;2200010;36;7,5;2024-02-28 00:00:00;VOITURE;2;Société;GE;Autres;Commerce;SA;1989-03-16 00:00:00;Yaounde Centre;66;20+ ans;pas_retard;0;4,577324686;paye
1;136;CBM02380;3;2024-06-04 00:00:00;18448637;480632,28;352563,21;14056889,11;2024-04-05 00:00:00;626858;36;7,5;2024-02-28 00:00:00;VOITURE;2;Société;GE;Autres;Commerce;SA;1989-03-16 00:00:00;Yaounde Centre;97;20+ ans;pas_retard;0;5,881560847;paye
2;136;CBM02380;4;2024-07-04 00:00:00;18448637;480632,28;355696,74;13701192,37;2024-05-06 00:00:00;626858;36;7,5;2024-02-28 00:00:00;VOITURE;2;Société;GE;Autres;Commerce;SA;1989-03-16 00:00:00;Yaounde Centre;127;20+ ans;pas_retard;0;7,185797009;paye
3;136;CBM02380;5;2024-08-04 00:00:00;18448637;480632,28;358858,12;13342334,26;2024-06-05 00:00:00;626858;36;7,5;2024-02-28 00:00:00;VOITURE;2;Société;GE;Autres;Commerce;SA;1989-03-16 00:00:00;Yaounde Centre;158;20+ ans;pas_retard;0;8,49003317;paye
4;136;CBM02380;6;2024-09-04 00:00:00;18448637;480632,28;362047,59;12980286,66;2024-07-05 00:00:00;626858;36;7,5;2024-02-28 00:00:00;VOITURE;2;Société;GE;Autres;Commerce;SA;1989-03-16 00:00:00;Yaounde Centre;189;20+ ans;pas_retard;0;9,794269332;paye
5;136;CBM02380;7;2024-10-04 00:00:00;18448637;480632,28;365265,42;12615021,24;2024-08-05 00:00:00;626858;36;7,5;2024-02-28 00:00:00;VOITURE;2;Société;GE;Autres;Commerce;SA;1989-03-16 00:00:00;Yaounde Centre;219;20+ ans;pas_retard;0;11,09850549;paye
6;136;CBM02380;8;2024-11-04 00:00:00;18448637;480632,28;368511,84;12246509,4;2024-09-05 00:00:00;626858;36;7,5;2024-02-28 00:00:00;VOITURE;2;Société;GE;Autres;Commerce;SA;1989-03-16 00:00:00;Yaounde Centre;250;20+ ans;pas_retard;0;12,40274166;paye
7;136;CBM02380;9;2024-12-04 00:00:00;18448637;480632,28;371787,12;11874722,28;2024-10-07 00:00:00;626857;36;7,5;2024-02-28 00:00:00;VOITURE;2;Société;GE;Autres;Commerce;SA;1989-03-16 00:00:00;Yaounde Centre;280;20+ ans;pas_retard;0;13,70697574;paye
8;136;CBM02380;10;2025-01-04 00:00:00;18448637;480632,28;375091,51;11499630,76;2024-11-05 00:00:00;626857;36;7,5;2024-02-28 00:00:00;VOITURE;2;Société;GE;Autres;Commerce;SA;1989-03-16 00:00:00;Yaounde Centre;311;20+ ans;pas_retard;0;15,01120982;paye
9;136;CBM02380;11;2025-02-04 00:00:00;18448637;480632,28;378425,27;11121205,49;2024-12-05 00:00:00;626858;36;7,5;2024-02-28 00:00:00;VOITURE;2;Société;GE;Autres;Commerce;SA;1989-03-16 00:00:00;Yaounde Centre;342;20+ ans;pas_retard;0;16,31544598;paye
